Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3002_1x2032,1,CR2032,
"C1, C10, C5",0603,3,4.7uF,
"C11, C6, C7",0603,3,100nF,
"C2, C3, C4, C9",0603,4,1uF,
C8,0603,1,10nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9",LED_CHIP,42,~,
J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05_Pin,
"R1, R2",0603,2,5.1K,
"R10, R9",0603,2,10K,
"R3, R4, R5, R6, R7, R8",0603,6,250,
S1,SW_MSK12C02,1,MSK12C02,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7",TSB008A2526A,7,SW_Push,
SW8,SW-SMD_4P-L2.6-W1.6-P0.75-LS3.0,1,SW_MEC_5E,
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,VDDUSB,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,GND,
TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,VDD,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32U073CCUx,
U2,SOT-23,1,MCP1700x-300xxTT,
