Designator,Mid X,Mid Y,Rotation,Layer
BT1,160.936,-58.42,0.0,top
C1,171.691,-80.264,180.0,top
C10,155.702,-76.187,90.0,top
C11,144.793,-77.216,180.0,top
C2,171.691,-78.74,180.0,top
C3,171.45,-74.637,90.0,top
C4,175.247,-65.024,0.0,top
C5,146.936,-74.168,180.0,top
C6,146.936,-75.692,180.0,top
C7,155.435,-85.344,0.0,top
C8,143.751,-80.518,180.0,top
C9,144.767,-82.042,180.0,top
D1,102.921,-66.182623,180.0,top
D10,111.303,-69.611623,180.0,top
D11,115.525,-69.656,180.0,top
D12,119.685,-69.611623,180.0,top
D13,123.774378,-69.656,180.0,top
D14,127.813,-69.601623,180.0,top
D15,102.942,-73.154623,180.0,top
D16,107.26,-73.154623,180.0,top
D17,111.324,-73.127623,180.0,top
D18,115.546,-73.172,180.0,top
D19,119.706,-73.127623,180.0,top
D2,107.239,-66.182623,180.0,top
D20,123.795378,-73.172,180.0,top
D21,127.834,-73.117623,180.0,top
D22,102.942,-76.523123,180.0,top
D23,107.26,-76.523123,180.0,top
D24,111.324,-76.523123,180.0,top
D25,115.546,-76.5675,180.0,top
D26,119.706,-76.523123,180.0,top
D27,123.795378,-76.5675,180.0,top
D28,127.834,-76.513123,180.0,top
D29,102.942,-79.945623,180.0,top
D3,111.303,-66.182623,180.0,top
D30,107.26,-79.945623,180.0,top
D31,111.324,-79.945623,180.0,top
D32,115.546,-79.99,180.0,top
D33,119.706,-79.945623,180.0,top
D34,123.795378,-79.99,180.0,top
D35,127.834,-79.935623,180.0,top
D36,102.942,-83.498623,180.0,top
D37,107.26,-83.498623,180.0,top
D38,111.324,-83.498623,180.0,top
D39,115.546,-83.543,180.0,top
D4,115.525,-66.227,180.0,top
D40,119.706,-83.498623,180.0,top
D41,123.795378,-83.543,180.0,top
D42,127.834,-83.488623,180.0,top
D5,119.685,-66.182623,180.0,top
D6,123.774378,-66.227,180.0,top
D7,127.813,-66.172623,180.0,top
D8,102.921,-69.611623,180.0,top
D9,107.239,-69.611623,180.0,top
H1_2,176.316,-49.998,0.0,top
H1,92.202,-96.266,0.0,top
J1,173.196,-86.367,90.0,top
J2,176.784,-78.01,180.0,top
R1,168.99175,-88.963,90.0,top
R10,156.464,-82.042,180.0,top
R2,169.11875,-83.771,270.0,top
R3,131.242,-65.024,0.0,top
R4,131.242,-68.58,0.0,top
R5,131.325,-71.882,0.0,top
R6,131.242,-75.438,0.0,top
R7,131.381,-78.994,0.0,top
R8,131.242,-82.55,0.0,top
R9,150.758,-74.168,0.0,top
S1,175.26,-70.368,90.0,top
SW1,102.997,-90.258,90.0,top
SW2,107.188,-90.271,90.0,top
SW3,111.379,-90.271,90.0,top
SW4,115.544201,-90.271,90.0,top
SW5,119.634,-90.271,90.0,top
SW6,123.825,-90.271,90.0,top
SW7,128.016,-90.284,90.0,top
SW8,148.281,-72.269,0.0,top
TP1,169.164,-72.136,0.0,top
TP2,159.766,-72.136,0.0,top
TP3,155.702,-72.136,0.0,top
U1,150.808,-80.71,90.0,top
U2,173.736,-77.0405,90.0,top
